,timeBlock,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9
0,0,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
1,1,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
2,2,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
3,3,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
4,4,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
5,5,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
6,6,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
7,7,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
8,8,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
9,9,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
10,10,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
11,11,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
12,12,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
13,13,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
14,14,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
15,15,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
16,16,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
17,17,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
18,18,Lc1 2,Lc3 2,Lc1 1,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
